Month of Order Date,Year of Order Date,2 in one,Profit,Sales
February,2017,196.784,-22.1382,196.784
November,2017,390.368,48.796,390.368
November,2017,209.568,-23.5764,209.568
August,2017,423.648,47.6604,423.648
June,2017,17.088,1.068,17.088
April,2015,67.36,10.104,67.36
July,2017,7.904,2.1736,7.904
November,2015,290.352,-36.294,290.352
July,2017,242.352,15.147,242.352
June,2017,698.352,52.3764,698.352
December,2014,662.88,74.574,662.88
March,2014,218.376,-10.9188,218.376
March,2016,102.36,-3.838500000,102.36
April,2015,54.528,14.3136,54.528
December,2015,77.952,12.6672,77.952
November,2014,410.352,-51.294,410.352
August,2015,46.152,12.1149,46.152
September,2017,14.136,4.2408,14.136
March,2014,32.952,6.5904,32.952
May,2016,44.76,14.547,44.76
January,2016,451.136,-67.6704,451.136
December,2014,186.304,13.9728,186.304
January,2017,419.136,-68.1096,419.136
September,2014,337.088,16.8544,337.088
November,2017,220.064,55.016,220.064
November,2017,339.136,0,339.136
May,2015,163.136,20.392,163.136
December,2017,72.704,19.0848,72.704
November,2017,723.92,-81.441000000,723.92
February,2017,231.92,5.798,231.92
May,2017,2803.92,0,2803.92
July,2016,363.92,0,363.92
November,2017,101.52,19.035,101.52
May,2016,16.72,3.344,16.72
January,2016,315.776,31.5776,315.776
January,2016,14.272,4.2816,14.272
May,2016,187.056,11.691,187.056
September,2016,472.518,-149.6307,472.518
November,2014,945.036,-299.2614,945.036
December,2017,934.956,-249.3216,934.956
November,2017,1781.682,-653.2834,1781.682
April,2015,191.5155,-76.6062,191.5155
May,2017,933.262,-458.1468,933.262
November,2016,331.023,-114.3534,331.023
December,2014,43.31,4.331,43.31
November,2017,8.73,2.9682,8.73
November,2017,18.7,7.106,18.7
August,2017,51.75,15.525,51.75
May,2015,20.24,7.8936,20.24
September,2016,43.13,14.6642,43.13
February,2017,107.53,21.506,107.53
August,2014,12.35,5.434,12.35
November,2017,70.98,20.5842,70.98
November,2015,141.96,41.1684,141.96
July,2017,115.96,25.5112,115.96
December,2017,141.96,41.1684,141.96
February,2017,91.96,15.6332,91.96
December,2016,14.76,4.2804,14.76
June,2015,12.56,4.0192,12.56
September,2014,204.6,53.196,204.6
October,2016,19.96,5.5888,19.96
February,2017,86.26,29.3284,86.26
August,2015,4.16,1.7472,4.16
January,2014,19.3,5.79,19.3
December,2016,41.96,10.9096,41.96
December,2014,3.48,1.1136,3.48
November,2014,35.34,13.4292,35.34
November,2014,39.88,11.1664,39.88
October,2017,17.46,5.9364,17.46
November,2016,41.96,10.9096,41.96
December,2016,16.74,4.3524,16.74
December,2017,68.46,20.538,68.46
July,2017,198.46,99.23,198.46
September,2014,35.34,13.4292,35.34
May,2017,39.96,17.1828,39.96
July,2017,129.39,54.3438,129.39
December,2015,29.22,12.8568,29.22
August,2016,312.03,43.6842,312.03
April,2017,25.11,6.5286,25.11
September,2017,9.24,4.4352,9.24
November,2017,18.84,6.0288,18.84
November,2017,12.42,4.4712,12.42
November,2017,119.94,23.988,119.94
September,2014,127.95,21.7515,127.95
November,2017,17.31,5.193,17.31
November,2015,36.6,15.372,36.6
June,2016,22.14,6.4206,22.14
November,2015,32.04,8.01,32.04
May,2016,37.05,16.302,37.05
August,2014,85.44,31.6128,85.44
December,2014,58.2,28.518,58.2
December,2015,166.5,21.645,166.5
July,2017,276.69,49.8042,276.69
July,2017,18.84,7.9128,18.84
November,2017,41.37,17.3754,41.37
November,2015,66.69,22.0077,66.69
June,2014,6.24,2.6208,6.24
October,2015,10.11,3.2352,10.11
May,2016,41.6,14.144,41.6
September,2017,19.76,8.2992,19.76
January,2015,77.6,38.024,77.6
August,2016,47.04,15.9936,47.04
April,2014,59.92,27.5632,59.92
December,2016,39.92,11.1776,39.92
November,2015,80.96,29.1456,80.96
June,2017,50.32,21.1344,50.32
July,2016,30.8,10.164,30.8
April,2016,24.7,10.374,24.7
November,2014,53.2,14.896,53.2
June,2015,204.85,57.358,204.85
October,2015,145.9,62.737,145.9
September,2017,529.9,105.98,529.9
July,2016,215.65,73.321,215.65
September,2015,912.75,118.6575,912.75
December,2016,1747.25,629.01,1747.25
December,2015,25.08,9.0288,25.08
November,2016,595.38,297.69,595.38
December,2016,383.64,122.7648,383.64
November,2015,96.96,33.936,96.96
May,2015,1406.86,140.686,1406.86
January,2016,59.99,21.5964,59.99
October,2015,74.76,23.9232,74.76
January,2015,227.36,81.8496,227.36
August,2015,104.23,28.1421,104.23
March,2015,435.26,95.7572,435.26
December,2016,43.96,18.4632,43.96
April,2017,139.58,39.0824,139.58
December,2016,842.72,202.2528,842.72
November,2017,47.12,20.7328,47.12
December,2017,201.04,54.2808,201.04
January,2015,464.85,92.97,464.85
September,2016,94.68,31.2444,94.68
July,2014,134.01,36.1827,134.01
July,2017,545.85,114.6285,545.85
January,2017,474.43,199.2606,474.43
April,2017,102.833,-6.049,102.833
October,2015,120.666,18.4548,120.666
August,2015,307.666,28.9568,307.666
December,2016,205.666,-12.098,205.666
October,2017,307.666,-14.4784,307.666
March,2014,205.666,-12.098,205.666
April,2016,257.499,24.2352,257.499
September,2015,293.199,-20.6964,293.199
November,2015,512.499,-30.147,512.499
January,2014,333.999,3.929400000,333.999
December,2015,359.499,-29.6058,359.499
November,2017,359.499,-29.6058,359.499
November,2015,683.332,-40.196000000,683.332
September,2015,411.332,-4.839200000,411.332
April,2016,556.665,6.549000000,556.665
November,2016,3406.664,160.3136,3406.664
June,2017,917.9235,75.593700000,917.9235
November,2014,112.648,11.2648,112.648
October,2017,71.992,-0.899900000,71.992
May,2014,256.784,32.098,256.784
August,2017,207.184,25.898,207.184
May,2017,220.96,24.858,220.96
December,2016,22.784,4.8416,22.784
February,2015,35.544,-0.888600000,35.544
July,2017,161.568,10.098,161.568
May,2014,225.296,22.5296,225.296
September,2017,594.816,59.4816,594.816
September,2017,161.568,-28.2744,161.568
July,2017,225.296,22.5296,225.296
November,2015,225.568,2.819600000,225.568
May,2017,42.624,4.2624,42.624
December,2015,14.368,3.9512,14.368
December,2015,7.712,1.7352,7.712
February,2016,14.368,3.9512,14.368
June,2014,4.272,0.9612,4.272
September,2017,236.528,-2.956600000,236.528
July,2017,311.976,-42.8967,311.976
March,2017,170.352,-17.0352,170.352
July,2017,122.136,-13.7403,122.136
April,2017,218.352,-19.1058,218.352
November,2016,194.352,19.4352,194.352
October,2016,242.136,12.1068,242.136
September,2017,184.752,-20.7846,184.752
November,2015,572.16,35.76,572.16
July,2015,170.352,-17.0352,170.352
December,2014,572.16,35.76,572.16
June,2016,122.352,13.7646,122.352
November,2016,451.152,0,451.152
December,2014,230.28,23.028,230.28
September,2017,218.352,0,218.352
July,2016,662.88,74.574,662.88
July,2014,674.352,-109.5822,674.352
November,2015,230.352,20.1558,230.352
June,2014,585.552,73.194,585.552
December,2016,698.352,52.3764,698.352
August,2014,4.224,1.2672,4.224
August,2017,22.752,7.11,22.752
August,2017,418.296,5.2287,418.296
September,2016,568.728,28.436400000,568.728
May,2017,171.288,-6.423300000,171.288
November,2014,629.064,31.4532,629.064
October,2015,364.776,27.3582,364.776
June,2016,902.712,33.851700000,902.712
December,2016,268.704,6.717600000,268.704
April,2015,710.832,-97.7394,710.832
January,2014,333,-16.65,333
March,2014,626.352,-23.488200000,626.352
October,2015,253.176,-31.647,253.176
September,2016,483.136,60.392000000,483.136
November,2014,725.344,54.4008,725.344
December,2017,393.568,-44.2764,393.568
August,2014,195.136,-12.196,195.136
November,2015,883.84,99.432000000,883.84
November,2016,195.136,-12.196,195.136
October,2015,291.168,-14.5584,291.168
July,2014,123.136,13.8528,123.136
June,2015,40.256,11.0704,40.256
August,2014,121.376,-3.034400000,121.376
December,2016,11.84,3.108,11.84
November,2017,486.368,36.4776,486.368
November,2014,573.728,-64.5444,573.728
February,2016,557.728,6.9716,557.728
October,2016,307.92,-34.641,307.92
December,2016,563.92,7.049000000,563.92
February,2015,203.92,22.941,203.92
November,2017,283.92,-46.137,283.92
September,2014,603.92,45.294,603.92
September,2014,1487.04,148.704,1487.04
September,2014,975.92,121.99,975.92
December,2015,54.92,10.984,54.92
December,2017,13.36,4.008,13.36
December,2014,1325.76,149.148,1325.76
May,2016,484.704,-84.823200000,484.704
November,2017,2404.704,150.294,2404.704
August,2016,532.704,-39.9528,532.704
June,2015,364.704,-36.4704,364.704
December,2015,206.112,48.9516,206.112
December,2016,2003.52,-325.572,2003.52
April,2016,638.288,-31.9144,638.288
August,2017,120.576,33.1584,120.576
December,2015,52.416,15.0696,52.416
September,2016,393.165,-204.4458,393.165
August,2015,277.5,-188.7,277.5
July,2017,801.6,-448.896,801.6
December,2015,364.95,-248.166,364.95
October,2015,66.294,-103.8606,66.294
September,2017,180.588,-240.784,180.588
December,2015,69.576,-143.7904,69.576
October,2017,217.764,-384.7164,217.764
December,2015,590.058,-786.744,590.058
December,2017,102.018,-183.6324,102.018
February,2015,5.81,1.8011,5.81
December,2014,3.69,1.7343,3.69
February,2015,5.76,1.728,5.76
December,2015,23,10.35,23
October,2017,1793.98,843.1706,1793.98
March,2017,325.86,149.8956,325.86
February,2015,9.54,4.293,9.54
August,2014,11.56,5.6644,11.56
November,2017,11.76,5.7624,11.76
November,2017,4.36,0.174400000,4.36
December,2014,1103.97,496.7865,1103.97
June,2014,161.94,9.716400000,161.94
June,2014,501.81,0,501.81
December,2014,46.64,12.5928,46.64
August,2015,28.4,13.064,28.4
December,2015,195.64,91.9508,195.64
November,2017,83.9,20.975,83.9
August,2017,5.952,0.372,5.952
March,2016,5.184,1.8792,5.184
September,2016,10.784,0.808800000,10.784
September,2017,8.928,0.558000000,8.928
December,2015,45.04,4.504,45.04
May,2014,37.84,2.838,37.84
June,2015,4.608,1.6704,4.608
June,2016,76.864,26.9024,76.864
July,2014,10.368,3.6288,10.368
May,2017,76.864,26.9024,76.864
December,2017,10.368,3.6288,10.368
September,2017,47.584,-2.974,47.584
August,2017,118.16,-25.109,118.16
December,2017,264.32,19.824,264.32
January,2017,18.16,1.816,18.16
April,2017,7.056,2.205,7.056
May,2016,7.896,2.4675,7.896
September,2017,11.424,3.7128,11.424
October,2017,63.312,20.5764,63.312
May,2017,47.952,16.1838,47.952
June,2015,47.952,16.1838,47.952
June,2014,132.696,9.9522,132.696
June,2014,5.248,1.64,5.248
June,2014,15.936,5.1792,15.936
November,2016,15.232,5.5216,15.232
May,2017,46.2,5.775,46.2
November,2017,13.04,3.912,13.04
January,2017,11.52,4.176,11.52
November,2014,381.72,-66.801,381.72
May,2014,5.472,1.8468,5.472
December,2016,186.048,67.4424,186.048
September,2014,31.104,10.8864,31.104
March,2016,145.544,16.3737,145.544
June,2016,173.488,54.215,173.488
October,2015,36.288,12.7008,36.288
May,2016,30.528,9.54,30.528
August,2016,83.84,30.392,83.84
December,2014,2.394,-6.3441,2.394
May,2016,2.89,-4.7685,2.89
January,2017,4.276,-6.6278,4.276
August,2016,2.068,-3.4122,2.068
December,2014,4.984,-8.4728,4.984
November,2014,6.928,-11.0848,6.928
December,2017,1.392,-3.7584,1.392
June,2017,21.392,-54.5496,21.392
September,2015,15.08,-22.62,15.08
September,2016,1.964,-3.2406,1.964
June,2015,0.984,-1.476,0.984
October,2016,16.392,-26.2272,16.392
November,2014,2.892,-4.9164,2.892
September,2014,3.648,-6.0192,3.648
October,2017,96.784,-145.176,96.784
November,2015,8.784,-13.6152,8.784
January,2017,32.784,-52.4544,32.784
August,2016,10.024,-16.5396,10.024
August,2016,3.98,-6.567,3.98
May,2014,17.46,-30.555,17.46
November,2017,1525.188,-2287.782,1525.188
November,2017,33.568,-53.7088,33.568
August,2014,30.96,-52.632,30.96
August,2016,13.14,-21.681,13.14
September,2014,30.98,8.0548,30.98
September,2014,19.9,8.955,19.9
October,2016,315.98,148.5106,315.98
February,2016,4.77,2.1465,4.77
November,2016,6.48,3.1104,6.48
March,2016,11.21,3.363,11.21
March,2017,465.16,120.9416,465.16
May,2015,160.32,44.8896,160.32
June,2014,13.36,4.9432,13.36
March,2017,30.88,15.44,30.88
April,2016,25.06,11.7782,25.06
April,2017,5.76,2.8224,5.76
May,2016,14.62,6.8714,14.62
October,2017,9.96,4.6812,9.96
October,2015,24.56,11.5432,24.56
November,2016,11.56,5.6644,11.56
November,2016,12.96,6.2208,12.96
September,2017,39.96,18.7812,39.96
December,2016,193.86,11.6316,193.86
August,2015,41.96,2.9372,41.96
April,2015,22.58,5.8708,22.58
September,2016,69.52,17.38,69.52
December,2017,4.36,0.174400000,4.36
February,2016,170.88,49.5552,170.88
June,2014,59.7,26.865,59.7
April,2015,206.43,90.8292,206.43
September,2014,9.84,2.8536,9.84
February,2016,7.98,2.0748,7.98
November,2017,50.94,14.2632,50.94
November,2016,34.65,9.702,34.65
September,2014,21.24,8.0712,21.24
November,2017,68.97,19.3116,68.97
August,2014,62.94,30.2112,62.94
September,2014,34.5,15.525,34.5
August,2015,10.65,5.0055,10.65
December,2017,6.03,2.9547,6.03
December,2017,9.45,4.536,9.45
March,2016,17.94,8.7906,17.94
September,2014,14.94,7.0218,14.94
August,2015,143.7,68.976,143.7
June,2014,19.65,9.039,19.65
November,2016,40.44,10.5144,40.44
December,2016,182.94,3.6588,182.94
November,2016,116.82,5.841000000,116.82
September,2014,81.92,22.1184,81.92
March,2016,51.8,23.31,51.8
November,2016,14.96,0.299200000,14.96
May,2017,59.2,29.6,59.2
March,2017,27.12,12.4752,27.12
February,2017,23.12,11.3288,23.12
November,2016,25.92,12.4416,25.92
December,2016,40.56,19.8744,40.56
April,2015,25.92,12.4416,25.92
October,2017,904.9,253.372,904.9
June,2014,21.4,6.206,21.4
September,2014,57.75,16.17,57.75
November,2016,79.95,38.376,79.95
September,2017,39.9,19.95,39.9
September,2017,94.85,45.528,94.85
November,2016,204.95,100.4255,204.95
September,2017,16.9,7.774,16.9
April,2017,54.9,15.372,54.9
September,2015,37.68,16.956,37.68
September,2014,75.18,35.3346,75.18
September,2017,90.86,26.3494,90.86
December,2017,286.86,80.3208,286.86
November,2017,46.76,22.4448,46.76
October,2014,79.45,22.246,79.45
May,2016,65.17,18.8993,65.17
January,2017,34.384,3.868200000,34.384
September,2016,2.672,0.3674,2.672
December,2016,1.728,0.6048,1.728
December,2015,3.552,0.444,3.552
January,2017,4.768,0.4768,4.768
August,2016,276.784,89.9548,276.784
December,2015,6.688,2.3408,6.688
August,2015,1217.568,456.588,1217.568
November,2016,276.784,89.9548,276.784
May,2016,6,2.1,6
February,2016,30.352,10.6232,30.352
April,2016,78.304,29.364,78.304
October,2014,7.968,2.8884,7.968
December,2017,10.368,3.6288,10.368
November,2017,8.448,2.64,8.448
May,2017,221.024,-55.256,221.024
August,2017,25.696,1.9272,25.696
July,2016,9.48,0.711,9.48
December,2015,434.352,43.4352,434.352
June,2015,3050.376,1143.891,3050.376
December,2015,6.912,2.5056,6.912
November,2016,15.696,5.1012,15.696
July,2017,15.552,5.4432,15.552
December,2017,37.392,2.337,37.392
July,2017,13.392,1.0044,13.392
August,2015,422.856,15.8571,422.856
October,2014,121.792,13.7016,121.792
December,2015,88.832,7.7728,88.832
February,2014,19.456,3.4048,19.456
December,2017,13.248,3.6432,13.248
November,2016,17.216,6.0256,17.216
December,2016,156.512,-35.2152,156.512
November,2017,39.296,3.9296,39.296
November,2015,27.2,2.04,27.2
July,2015,11.12,0.834,11.12
August,2016,25.32,9.1785,25.32
December,2015,21.36,7.209,21.36
August,2017,16.52,5.369,16.52
April,2016,55.92,6.291,55.92
May,2016,195.64,-44.019,195.64
September,2015,55.6,6.255000000,55.6
August,2016,146.688,55.008,146.688
September,2017,17.712,5.9778,17.712
April,2015,23.904,7.7688,23.904
June,2017,27.744,10.0572,27.744
April,2016,108.336,37.9176,108.336
November,2016,31.104,10.8864,31.104
January,2017,1924.16,312.676,1924.16
June,2016,23.616,7.9704,23.616
December,2017,1.641,-1.3128,1.641
December,2017,3.273,-2.5093,3.273
November,2016,2.628,-1.9272,2.628
June,2017,3.798,-2.6586,3.798
September,2017,6.258,-5.215,6.258
September,2017,3.882,-2.588,3.882
September,2017,3.444,-2.7552,3.444
September,2017,538.194,-412.6154,538.194
November,2016,14.427,-10.5798,14.427
November,2015,7.218,-5.5338,7.218
September,2017,4.86,-3.564,4.86
July,2015,2.502,-2.0016,2.502
September,2014,6.57,-5.037,6.57
July,2015,6.48,-4.752,6.48
September,2017,18.312,-12.208,18.312
July,2016,1369.764,-913.176,1369.764
May,2017,3.89,1.8672,3.89
April,2015,9.14,4.57,9.14
December,2015,196.62,96.3438,196.62
June,2016,12.96,6.2208,12.96
December,2017,1665.62,33.3124,1665.62
October,2015,182.91,53.0439,182.91
December,2017,34.65,10.395,34.65
June,2016,11.67,5.6016,11.67
June,2016,64.14,30.7872,64.14
August,2014,14.04,6.7392,14.04
October,2017,11.07,5.2029,11.07
June,2016,59.94,28.1718,59.94
May,2016,79.14,36.4044,79.14
September,2017,40.29,10.0725,40.29
November,2015,197.72,55.3616,197.72
December,2015,194.32,56.3528,194.32
September,2017,691.96,318.3016,691.96
February,2016,15.92,7.4824,15.92
August,2016,22.32,10.7136,22.32
March,2015,31.56,14.202,31.56
October,2017,25.92,12.4416,25.92
March,2015,27.92,0.558400000,27.92
April,2014,174.95,45.487,174.95
July,2016,73.2,21.228,73.2
April,2014,826,214.76,826
May,2014,34.2,9.234,34.2
May,2017,54.66,18.0378,54.66
February,2016,1350.12,175.5156,1350.12
September,2017,38.71,17.8066,38.71
August,2016,103.6,51.8,103.6
October,2017,348.56,104.568,348.56
January,2017,21.744,7.3386,21.744
May,2016,3.984,1.2948,3.984
June,2017,4.464,0.3348,4.464
December,2014,39.128,-8.8038,39.128
June,2014,3.104,0.3492,3.104
November,2016,18.48,6.006,18.48
May,2017,4.608,1.4976,4.608
November,2015,98.352,9.835200000,98.352
December,2016,34.944,3.0576,34.944
November,2017,28.728,1.7955,28.728
June,2017,37.608,12.6927,37.608
March,2014,9.912,3.2214,9.912
April,2017,15.12,4.914,15.12
April,2017,251.64,88.074,251.64
September,2017,251.64,88.074,251.64
August,2016,15.552,5.4432,15.552
August,2016,569.536,64.072800000,569.536
October,2017,10.816,3.5152,10.816
August,2014,152.24,17.127,152.24
August,2014,91.36,29.692,91.36
March,2016,67.64,5.9185,67.64
November,2017,23.968,2.6964,23.968
December,2017,12.672,1.4256,12.672
June,2014,20.016,1.7514,20.016
August,2016,30.816,9.63,30.816
April,2017,17.43,-13.363,17.43
May,2016,2.742,-2.0108,2.742
July,2016,2.214,-1.476,2.214
June,2016,39.936,-26.624,39.936
November,2015,6.048,-4.2336,6.048
December,2014,13.97,3.6322,13.97
September,2017,25.98,7.2744,25.98
July,2014,104.85,50.328,104.85
December,2015,4.98,2.3406,4.98
November,2016,29.74,4.461,29.74
November,2017,33.29,7.9896,33.29
September,2017,97.84,25.4384,97.84
June,2016,21.78,5.6628,21.78
October,2017,241.96,60.49,241.96
April,2017,47.3,12.298,47.3
June,2017,11.68,3.0368,11.68
July,2016,43.96,20.6612,43.96
July,2016,3.96,0.079200000,3.96
September,2016,4.36,1.7876,4.36
December,2015,7.86,3.6156,7.86
November,2017,2.96,1.4208,2.96
December,2017,12.96,6.2208,12.96
July,2016,12.96,6.2208,12.96
September,2016,96.08,46.1184,96.08
June,2017,18.54,8.7138,18.54
January,2016,114.46,28.615,114.46
October,2015,26.96,7.0096,26.96
July,2017,56.56,15.2712,56.56
March,2017,32.48,4.872,32.48
November,2014,20.46,5.3196,20.46
August,2017,542.94,152.0232,542.94
June,2017,61.44,16.5888,61.44
August,2017,203.52,54.9504,203.52
November,2014,43.68,11.7936,43.68
December,2017,6.63,1.7901,6.63
April,2017,12.39,5.6994,12.39
December,2014,8.64,2.4192,8.64
November,2016,9.84,2.8536,9.84
May,2015,8.82,2.5578,8.82
March,2014,17.94,4.6644,17.94
November,2014,21.84,10.4832,21.84
April,2016,6.12,2.8764,6.12
May,2016,17.94,8.073,17.94
April,2016,19.44,9.3312,19.44
February,2014,19.44,9.3312,19.44
July,2014,22.83,10.7301,22.83
March,2017,20.04,9.6192,20.04
December,2017,29.79,8.6391,29.79
June,2017,130.71,39.213,130.71
June,2016,161.94,9.716400000,161.94
April,2015,115.44,30.0144,115.44
March,2014,242.94,4.858800000,242.94
November,2017,95.94,9.594,95.94
March,2017,176.04,45.7704,176.04
November,2016,1101.48,429.5772,1101.48
November,2015,45.28,15.3952,45.28
June,2016,58.24,15.7248,58.24
April,2017,123.92,33.4584,123.92
August,2017,17.12,4.9648,17.12
November,2017,27.76,9.9936,27.76
June,2016,219.84,107.7216,219.84
July,2014,19.92,9.7608,19.92
October,2014,31.92,8.2992,31.92
September,2015,443.92,8.8784,443.92
July,2016,27.92,0.558400000,27.92
June,2017,16.4,4.756,16.4
September,2017,99.2,25.792,99.2
March,2015,10.9,3.597,10.9
August,2017,51.75,24.84,51.75
December,2017,32.4,15.552,32.4
October,2017,35.2,16.544,35.2
September,2015,26.4,11.88,26.4
May,2017,477.15,28.629,477.15
December,2014,250.26,72.5754,250.26
June,2016,22.5,10.8,22.5
July,2017,75.18,35.3346,75.18
November,2017,73.68,34.6296,73.68
September,2015,41.88,0.837600000,41.88
November,2017,169.68,45.8136,169.68
May,2017,49.56,18.8328,49.56
September,2017,35,16.8,35
November,2016,87.71,41.2237,87.71
June,2016,46.76,22.4448,46.76
December,2015,25.76,0.515200000,25.76
March,2017,16.02,4.4856,16.02
January,2016,26.01,12.2247,26.01
December,2017,60.12,28.8576,60.12
July,2017,58.32,27.9936,58.32
January,2016,305.01,76.2525,305.01
November,2015,7.88,1.773,7.88
April,2016,3.984,1.3944,3.984
October,2017,1.44,0.504,1.44
December,2016,11.328,2.5488,11.328
September,2017,46.672,16.3352,46.672
September,2016,11.68,3.942,11.68
July,2014,8.704,3.1552,8.704
December,2015,24.448,8.8624,24.448
November,2016,53.248,19.968,53.248
May,2015,49.568,17.3488,49.568
May,2015,62.496,21.8736,62.496
January,2016,50.784,17.7744,50.784
November,2017,8.448,2.9568,8.448
April,2017,18.688,7.008,18.688
December,2014,8.448,2.64,8.448
November,2017,88.768,31.0688,88.768
August,2015,7.152,0.7152,7.152
June,2015,36.624,13.734,36.624
October,2015,11.808,4.1328,11.808
April,2016,36.624,13.734,36.624
July,2017,15.192,5.5071,15.192
June,2016,17.712,6.4206,17.712
August,2014,19.752,6.9132,19.752
November,2015,7.08,2.478,7.08
June,2017,146.352,-32.9292,146.352
March,2017,185.92,62.748,185.92
October,2015,53.568,19.4184,53.568
January,2014,56.064,19.6224,56.064
May,2016,6.72,2.352,6.72
June,2017,895.92,302.373,895.92
November,2016,8.32,2.808,8.32
December,2015,29.2,9.855,29.2
November,2016,1219.96,381.2375,1219.96
April,2016,8.32,2.808,8.32
January,2014,108.72,36.693,108.72
December,2014,221.92,77.672,221.92
March,2017,19.824,6.6906,19.824
July,2014,89.712,30.2778,89.712
June,2016,21.552,7.0044,21.552
August,2017,117.144,42.4647,117.144
May,2017,21.24,7.434,21.24
October,2017,61.776,20.8494,61.776
July,2015,2.025,-1.35,2.025
November,2015,4.401,-3.5208,4.401
October,2016,54.792,-40.1808,54.792
November,2016,4.158,-3.465,4.158
May,2017,9.552,-7.3232,9.552
January,2014,32.34,-23.716,32.34
September,2016,1.81,0.6516,1.81
August,2016,6.48,3.1104,6.48
March,2014,16.28,6.512,16.28
April,2015,12.76,5.8696,12.76
March,2017,127.96,62.7004,127.96
September,2016,8.26,3.8822,8.26
April,2015,5.84,2.628,5.84
March,2017,7.9,2.528,7.9
March,2017,25.06,11.7782,25.06
March,2017,18.69,9.1581,18.69
October,2017,333.09,23.3163,333.09
December,2015,29.52,14.4648,29.52
March,2017,221.16,57.5016,221.16
October,2016,28.85,14.425,28.85
November,2017,38.16,19.08,38.16
April,2015,644.076,107.346,644.076
November,2016,11.84,4.44,11.84
October,2016,28.352,9.5688,28.352
March,2014,5.184,1.8792,5.184
October,2015,5.344,1.8704,5.344
October,2017,19.152,1.197,19.152
March,2014,4.448,0.3336,4.448
December,2017,10.368,3.6288,10.368
August,2015,10.368,3.6288,10.368
April,2017,10.368,3.6288,10.368
June,2014,36.544,11.8768,36.544
May,2016,10.368,3.6288,10.368
March,2017,56.704,19.1376,56.704
October,2017,290.336,32.662800000,290.336
March,2014,15.552,5.4432,15.552
May,2016,14.352,5.2026,14.352
July,2014,220.776,-44.1552,220.776
December,2015,46.344,4.6344,46.344
November,2014,49.632,4.9632,49.632
August,2015,31.68,2.772,31.68
July,2015,21.12,6.6,21.12
December,2017,95.232,24.9984,95.232
October,2017,54.192,4.0644,54.192
October,2016,59.752,19.4194,59.752
March,2017,274.064,102.774,274.064
August,2015,12.032,2.256,12.032
July,2014,281.424,-35.178,281.424
August,2015,3.798,-6.0768,3.798
August,2015,5.768,-13.5548,5.768
July,2015,32.784,-85.2384,32.784
May,2017,3.29,1.4805,3.29
May,2017,6.68,3.2064,6.68
September,2014,601.3,198.429,601.3
March,2016,32.54,15.9446,32.54
September,2017,18.76,9.0048,18.76
September,2015,13.96,0.279200000,13.96
March,2016,901.95,297.6435,901.95
April,2016,15.48,4.4892,15.48
September,2017,70.95,18.447,70.95
December,2017,10.86,5.1042,10.86
March,2015,29.34,14.67,29.34
September,2015,20.04,9.6192,20.04
November,2017,146.82,73.41,146.82
July,2015,19.44,9.3312,19.44
June,2016,14.94,7.0218,14.94
May,2016,44.94,12.5832,44.94
November,2014,11.52,5.6448,11.52
August,2014,45.92,22.5008,45.92
August,2014,25.92,12.4416,25.92
March,2015,563.4,67.608,563.4
March,2016,199.9,89.955,199.9
September,2014,14.4,7.056,14.4
December,2017,426.79,123.7691,426.79
September,2014,68.46,31.4916,68.46
April,2016,51.84,24.8832,51.84
November,2014,93.15,44.712,93.15
September,2014,44.82,21.0654,44.82
September,2015,24.424,7.9378,24.424
July,2014,25.984,-5.1968,25.984
October,2014,55.984,4.1988,55.984
September,2015,15.84,5.544,15.84
May,2016,10.688,3.7408,10.688
May,2016,10.368,3.6288,10.368
July,2015,10.368,3.6288,10.368
May,2016,25.12,1.57,25.12
September,2015,33.568,1.6784,33.568
March,2017,54.224,3.389,54.224
May,2014,26.136,1.9602,26.136
May,2016,45.576,15.9516,45.576
November,2014,12.912,4.6806,12.912
November,2015,11.352,4.1151,11.352
May,2016,1006.056,88.029900000,1006.056
November,2014,17.088,5.7672,17.088
September,2015,17.12,1.926,17.12
May,2017,663.92,207.475,663.92
October,2014,14.48,4.887,14.48
June,2017,40.032,15.012,40.032
December,2015,37.376,4.672,37.376
March,2014,0.852,-0.5964,0.852
October,2014,18.264,-13.3936,18.264
September,2015,2.946,-2.0622,2.946
March,2017,5.193,-3.462,5.193
July,2014,27.36,-21.888,27.36
September,2015,6.732,-4.488,6.732
August,2016,17.34,4.6818,17.34
July,2016,58.34,28.0032,58.34
July,2016,14.2,6.532,14.2
July,2016,12.96,6.2208,12.96
October,2014,11.85,3.792,11.85
May,2016,14.73,7.2177,14.73
February,2016,7.83,3.6018,7.83
May,2017,195.64,91.9508,195.64
March,2014,354.9,17.745,354.9
October,2017,6.672,2.502,6.672
October,2017,4.448,1.112,4.448
October,2015,10.688,2.2712,10.688
March,2014,4.032,1.0584,4.032
July,2016,15.984,4.995,15.984
October,2017,4.768,-0.774800000,4.768
May,2015,10.272,1.1556,10.272
December,2016,85.224,7.4571,85.224
June,2017,25.344,9.1872,25.344
August,2017,67.136,-0.839200000,67.136
July,2014,14.32,5.191,14.32
May,2017,122.12,39.689,122.12
July,2014,48.944,16.5186,48.944
June,2014,310.688,108.7408,310.688
March,2015,150.408,-33.8418,150.408
August,2017,13.428,-11.19,13.428
October,2016,37.425,-29.94,37.425
March,2014,12.645,-10.116,12.645
May,2017,68.541,-52.5481,68.541
July,2017,25.99,7.5371,25.99
